sent0,sent1,hard_neg,source
Best Case Three states have missing returns (unfiled) rates of less than 1 percent.,Three states have very low rates of missing returns.,Five states have very low rates of missing returns.,nli_base
"A party of soldiers are cut off, as was Coronel Oliveri almost men can be killed.","Coronel Oliveri is cut off, as was a party of soldiers.",It was impossible to cut off a party of soldiers.,nli_base
Source: Sunset in plane; Edit instruction: Make it winter,Sunset in winter,Sunset in plane,webvid_covr_multimodal
you know and it kind of scares me especially with all the shootings that have been going on in L A on the freeways and then you come here in in the Dallas area um,All of the LA freeway shootings scare me.,"There really aren't any shootings, so I'm not scared.",nli_negation
"He's good stuff, too served in the cavalry.... Kells studied the young man by the mule.",He served in the cavalry.,He was never a soldier.,nli_negation
Source: Cat playing; Edit instruction: replace cat with a sleeping cat,Cat sleeps,Cat playing,webvid_covr_multimodal
Source: Kids drawing green screen with theme of dog; Edit instruction: the dog should look like a crank,Kids drawing green screen with theme of crank,Kids drawing green screen with theme of dog,webvid_covr_multimodal
A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building.,A person in a jacket jumps over a cornfield on a quad,The person can;t ride quads.,nli_base
yeah well now this one that we went in it did baby what kind of van was that that we went to Florida in a what a Ford Ford what you remember he was trying to think of what the name of it was,They went to Florida in a Ford brand van.,They went to Florida in a Chevy.,nli_base
The town is a fascinating mixture of crumbling grandeur and renovated splendor.,Magnificence and brilliance are the best descriptors for the town.,Dullness and insignificance are the best descriptors for the town.,nli_base
Source: Flock of flamingo; Edit instruction: make it a flock of flamingos,Flock of flamingos,Flock of flamingo,webvid_covr_multimodal
Source: Writing or sketching a word fashion; Edit instruction: turn it into a business,Writing or sketching a word business,Writing or sketching a word fashion,webvid_covr_multimodal
Source: Mountains and rainbow; Edit instruction: make it a valley,Mountains and valley,Mountains and rainbow,webvid_covr_multimodal
Source: Heart in analysis; Edit instruction: convert skull to heart,Skull in analysis,Heart in analysis,webvid_covr_multimodal
Children are under a large fountain in the city.,Children are outdoors at a fountain.,Children are under a pavilion in the city.,nli_base
A person opens the bottle with drink,A person opens another bottle of oil with the two hands,A person closes the bottle with drink,ego4d_temporal
"All the ground floor windows were shuttered tight, but upstairs, on the first floor (it was a two-storied house) I noticed a window with a light burning and the curtains not drawn.","A solitary window on the first floor of the two story house glowed with a light burning and undrawn curtains, even though the ground floor windows were all shuttered tight.",Every window of the two-story house was gleaming brightly with the many lamps lit inside.,nli_base
A football player is kneeling on the football field with the football on the ground in front of him.,A person is kneeling before a football on a field.,A person is fastening their seatbelt in an aisle seat on an airplane.,nli_base
"Source: Letters are collected in country name turkmenistan, then scattered into strips. bright colors. alpha channel premultiplied - matted with color black; Edit instruction: Collect them in Mexico","Letters are collected in country name mexico, then scattered into strips. bright colors. alpha channel premultiplied - matted with color black","Letters are collected in country name turkmenistan, then scattered into strips. bright colors. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
"Source: Fatigue, doctor working on holographic interface, motion graphics; Edit instruction: change the disease to an ischemia, aka heart attack","Ischemia, doctor working on holographic interface, motion graphics","Fatigue, doctor working on holographic interface, motion graphics",webvid_covr_multimodal
Source: Clouds in the sunset; Edit instruction: turn it into a sunset with trees,Trees in the sunset,Clouds in the sunset,webvid_covr_multimodal
"Source: Tropical island with water, palms and woman resting on the beach against timelapse clouds, tilt; Edit instruction: make it a sunset","Tropical island with water, palms and woman resting on the beach against timelapse sunset, tilt","Tropical island with water, palms and woman resting on the beach against timelapse clouds, tilt",webvid_covr_multimodal
Source: Sun motion; Edit instruction: Made the sky an orange color,Sun sky,Sun motion,webvid_covr_multimodal
Source: Cyprus scanned by software; Edit instruction: have it scanned in Tanzania,Tanzania scanned by software,Cyprus scanned by software,webvid_covr_multimodal
"ABC News president David Westin is the latest star in the network news soap opera . USA Today implied that Westin's predecessor, the legendary Roone Arledge, is being kicked upstairs because ABC is losing the ratings war to NBC.",ABC is losing the ratings war to NBC.,Westin is not a star.,nli_negation
Source: Forest by the river; Edit instruction: Make it grass,Grass by the river,Forest by the river,webvid_covr_multimodal
Source: Refreshing at the beach; Edit instruction: make the girl the main,Girl at the beach,Refreshing at the beach,webvid_covr_multimodal
Hairdressers and discos.,Hairdressers and dance clubs.,Hairdressers do not like discos.,nli_negation
A girl picks up the spoon and knife,A girl is picking up a spoon from the bowl of water in the sink,A girl puts down the spoon and knife,ego4d_temporal
"Two brill honked near a covered tent guarded by two large men in bronze armor, black leather masks, and bladed pole-arms.",The tent was guarded by two men dressed for battle.,The men were wearing paper masks.,nli_base
A man enters the kitchen from the room,A man is entering the kitchen store,A man exits the kitchen from the room,ego4d_temporal
A person picks up a card from the set of cards on the table,A person picks up a card from the deck on the table,A person puts down a card from the set of cards on the table,ego4d_temporal
Source: Symbol sun. blue electric glow storm. looped video. alpha channel black; Edit instruction: make the temple,Symbol temple. blue electric glow storm. looped video. alpha channel black,Symbol sun. blue electric glow storm. looped video. alpha channel black,webvid_covr_multimodal
Source: River flowing; Edit instruction: make it a river rafting illustration,River rafting,River flowing,webvid_covr_multimodal
Source: Symbol flushed appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black; Edit instruction: make it a,Symbol om appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,Symbol flushed appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Street sign the way to canteen; Edit instruction: Make the partner the way to the canteen,Street sign the way to partner,Street sign the way to canteen,webvid_covr_multimodal
They're very particular at the National Gallery.,"At the National Gallery, they are very particular.",The National Gallery does not exist.,nli_negation
Source: Autumn leaves; Edit instruction: make the leaves into wind,Wind leaves,Autumn leaves,webvid_covr_multimodal
Source: Calm waves; Edit instruction: make waves at the bottom,Water waves,Calm waves,webvid_covr_multimodal
Source: Businessman corrects hair; Edit instruction: make sure he wears glasses,Businessman corrects glasses,Businessman corrects hair,webvid_covr_multimodal
I was right.,I had been correct.,I made a mistake.,nli_base
A man wearing a purple shirt and black leather chaps poses for the camera.,There is a man in a purple shirt.,There is a man in a green shirt.,nli_base
"The late 18th-century Chapel displays some fine plasterwork and dazzling stained-glass windows, together with a 20th-century organ in an 18th-century case.",The chapel has stained-glass windows and an organ.,The chapel was built in the 15th century.,nli_base
Purdue i have a brother that lives in uh uh Southbend Indiana,My brother lives in Indiana.,My brother lives in California.,nli_base
"Source: New year text text loss. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b); Edit instruction: replace the text with an empty background","New year text text remove. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)","New year text text loss. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)",webvid_covr_multimodal
Source: Index of platinum. down. looping; Edit instruction: make it a security,Index of security. down. looping,Index of platinum. down. looping,webvid_covr_multimodal
The mother in green is looking at her son while he is crying.,A woman is wearing green.,The son is laughing.,nli_base
"Source: The appearance of the green neon symbol skating. flicker, in - out. alpha channel premultiplied - matted with color black; Edit instruction: replace the symbol with a beer","The appearance of the green neon symbol beer. flicker, in - out. alpha channel premultiplied - matted with color black","The appearance of the green neon symbol skating. flicker, in - out. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
Source: Hand reveals hologram word-number; Edit instruction: turn the word into a mind,Hand reveals hologram word-mind,Hand reveals hologram word-number,webvid_covr_multimodal
A man in a chef's jacket is seated at a white table and writing in a book.,A man in a jacket is seated at a white table and writing in a book.,A woman in a chef's jacket is seated at a white table and writing in a book.,nli_base
Source: tank aerial view; Edit instruction: make the tank a Chicago,Chicago aerial view,tank aerial view,webvid_covr_multimodal
Source: Frying vegetables and chicken white meat; Edit instruction: Make the pork white meat,Frying vegetables and pork white meat,Frying vegetables and chicken white meat,webvid_covr_multimodal
Blurred time exposure of pedestrians crossing street.,A time exposure of pedestrians.,A single photo of a family.,nli_base
A woman inserts the bolt into the bike engine's base cover with the gloved right hand,A woman is inserting bolt on the nut,A woman removes the bolt from the bike engine's base cover with the gloved right hand,ego4d_temporal
i liked Rainman i thought i thought it was interesting that he was doing something,What I liked about Rainman was I thought he was doing something.,I didn't find anything interesting about Rainman.,nli_negation
Source: Serious woman looking at camera; Edit instruction: make her black,Black woman looking at camera,Serious woman looking at camera,webvid_covr_multimodal
A boy opens a tap to a sink,A boy is opening the tap knob,A boy closes a tap to a sink,ego4d_temporal
"If necessary to meeting the 40,000 allowance restriction imposed under this subsection the Administrator shall reduce, pro rata, the additional annual allowances allocated to each unit under this subsection.","There is a 40,000 allowance restriction set.","There is a 20,000 allowance restriction set.",nli_base
Source: Los angeles freeway; Edit instruction: adds more cars,Los angeles traffic,Los angeles freeway,webvid_covr_multimodal
no blood ...,There isn't any blood,There's blood everywhere...,nli_base
Source: Country time-lapse; Edit instruction: change this to Sunrise time-lapse,Sunrise time-lapse,Country time-lapse,webvid_covr_multimodal
Source: Man playing saxophone; Edit instruction: Make him a piano,Man playing piano,Man playing saxophone,webvid_covr_multimodal
A blond boy is getting a haircut.,A boy is shortening his hair.,The boy is eating lunch in a fancy restaurant.,nli_base
Source: Solitary playground; Edit instruction: have other children,Children playground,Solitary playground,webvid_covr_multimodal
Source: Persimmon tree; Edit instruction: make it spooky,Spooky tree,Persimmon tree,webvid_covr_multimodal
Source: Orchids in nature; Edit instruction: make a lotus instead,Lotus in nature,Orchids in nature,webvid_covr_multimodal
Source: Trekking in iceland; Edit instruction: Make the icelandic lava fields into waterfalls,Waterfalls in iceland,Trekking in iceland,webvid_covr_multimodal
Source: Business trap; Edit instruction: to be a hall,Business hallway,Business trap,webvid_covr_multimodal
Source: Close up of a shark; Edit instruction: turn him into a raccoon,Close up of a raccoon,Close up of a shark,webvid_covr_multimodal
A man is overlooking a interior decorator work on his home.,a man is watching a decorator work on his home.,a man is watching a decorator work on somebody elses home.,nli_base
a black dog runs with its tongue out.,A dog running.,A bored looking cat.,nli_base
A happy Woman holding a guitar.,A lady grasping an instrument.,A lady plays the xylophone.,nli_base
Woman and young boy stand in a kitchen with a spread of burgers in front of them.,A woman and a young boy are standing in the kitchen.,A woman and a boy are playing catch in the yard.,nli_base
A little girl in a red jumper crying with her older sister and mom.,A young girl cires to her family.,A little girl chases after her mom and sister.,nli_base
A man speaks into a microphone while a surprised woman holds a stuffed snake.,A person is speaking into a microphone.,A woman is holding a large elephant.,nli_base
Critics applaud Taniguchi's design plan to double MoMA's exhibition space by building on top of the 1939 original.,MoMA's exhibition space will be doubled by building another story on top of the 1939 original.,Taniguchi has also designed many exotic dance bars.,nli_base
Source: Wheat field; Edit instruction: turn the wheat field into a wheat plant,Wheat plantation,Wheat field,webvid_covr_multimodal
Source: Symbol ship appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black; Edit instruction: lied,Symbol tooth appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,Symbol ship appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Leaves swaying in the wind; Edit instruction: Make the grass sway,Grass swaying in the wind,Leaves swaying in the wind,webvid_covr_multimodal
Source: White pills; Edit instruction: Make them a flower,White flower,White pills,webvid_covr_multimodal
"A man with a mustache and glasses in a red jacket stands in an open doorway at the bottom of some stairs, holding his keys.","Bill was at the bottom of the stairs, with keys in his hands trying to open the door.",Bill was cleaning the windows.,nli_base
Kindness can pay off.,Kindness has some form of return on investment.,Kindness has never had any form of return on investment.,nli_negation
Source: Girl runs; Edit instruction: changes the girl into an artist,Girl draws,Girl runs,webvid_covr_multimodal
"Splendid, but he mightn't come for weeks.","Fantastic, but he might not come for a while.","That's fantastic, he should be here very soon!",nli_base
Source: Horror scene; Edit instruction: make a beet,Beetle scene,Horror scene,webvid_covr_multimodal
Source: Metallurgical plant building; Edit instruction: add a conveyor,Metallurgical plant conveyor,Metallurgical plant building,webvid_covr_multimodal
Source: Summer forest; Edit instruction: Become a misty,Misty forest,Summer forest,webvid_covr_multimodal
A young woman is walking with shopping bags in Hollywood.,A woman walking,Nobody is walking.,nli_negation
Source: Fir tree; Edit instruction: Make it a forest tree,Forest tree,Fir tree,webvid_covr_multimodal
"A little girl wearing a polka dot shirt is standing in front of a sink washing clothes out, with a few wet items next to her.",A girl is is washing clothes and there is some wet clothes by her.,A girl is making crafts.,nli_base
Source: Fallen cross; Edit instruction: make this an example of a Christian cross,Christian cross,Fallen cross,webvid_covr_multimodal
uh actually really really,Indeed certainly certainly,Not really definitely not,nli_negation
Source: Flickering clouds; Edit instruction: make the clouds,Puffy clouds,Flickering clouds,webvid_covr_multimodal
Looking through the window of an Asian barber shop while a few customers have their haircut.,A person is watching people get their haircut,A man is looking into a deli.,nli_base
A woman in a red dress and black boots is playing a red cello.,A woman is playing an instrument.,A woman in a red outfit is holding s snake.,nli_base
4 cents for saturation mail weighing up to 3.3 ounces and drop shipped at the delivery office.,It costs at least 4 cents for saturation mail weighing a maximum of 3.3 ounces to be drop shipped.,Saturation mail costs 5 cents regardless of weight.,nli_base
Source: Download symbol inflames. then disappears. in - out loop. alpha channel premultiplied - matted with color black; Edit instruction: the,Copyright symbol inflames. then disappears. in - out loop. alpha channel premultiplied - matted with color black,Download symbol inflames. then disappears. in - out loop. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Sea on the beach; Edit instruction: make them pebbles,Pebbles on the beach,Sea on the beach,webvid_covr_multimodal
The back of three people all wearing red vest that say prevention on them.,People are wearing red vests.,Three people wear plain red vests with no words.,nli_negation
"All these are as typical of France as the more conventional images of rolling green meadows bounded by straggling hedgerows and arrow-straight avenues lined with plane trees, a village visible on the horizon, clustered around its church.",These things are all thought of as classic France.,France has no identifiable features.,nli_negation
And why not? asked Boris.,And what's the reason not? inquired Boris.,And why possibly? declared Boris.,nli_base
Source: Red energy; Edit instruction: becomes a glass of red wine,Red wine,Red energy,webvid_covr_multimodal
"Source: New year text text choice. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b); Edit instruction: increase the knowledge","New year text text knowing. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)","New year text text choice. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)",webvid_covr_multimodal
A woman is typing at a computer while another woman stands over her and looks on.,A woman is operating a computer.,A herd of cows are eating some hummus.,nli_base
A little boy on bike wearing dragon costume,A little boy is dressed up,A girl is running around in her diaper,nli_base
A hippie trying to tell people his believes and dressed up in colorful clothes,A hippie is sharing his beliefs and is trying to convert people.,The hippie is sitting around a bonfire singing a song.,nli_base
Source: Keys on the table; Edit instruction: Add gar,Garlic on the table,Keys on the table,webvid_covr_multimodal
Swimmer doing laps in a pool.,The person is swimming in the pool.,The person is swimming in the lake.,nli_base
An Indian woman working on weaving.,something is being weaved,a woman is dead in a casket,nli_base
A man is balancing in a pose as a woman runs down the dock by him,There is a man and a woman on the docks,A woman is posing for a picture being taken by a running man.,nli_base
"A man and two children all enjoying a drink; water, soda and beer.",The group is consuming beverages.,The man is with his friends.,nli_base
Source: Sparkle flower; Edit instruction: Make it a cosmos,cosmos flower,Sparkle flower,webvid_covr_multimodal
A little boy running for a ball.,A boy chases a ball.,A girl is running on the beach.,nli_base
Source: Cooking lobsters; Edit instruction: cook eggs,Cooking eggs,Cooking lobsters,webvid_covr_multimodal
a baby on a bed in a hooded jacket holding a light stick.,The baby is wearing a hooded jacket on the bed.,The baby is in a short sleeve shirt holding a hamster.,nli_base
Source: Neon flickering green text purpose in the haze. alpha channel premultiplied - matted with color black; Edit instruction: make him look like a sir,Neon flickering green text sir in the haze. alpha channel premultiplied - matted with color black,Neon flickering green text purpose in the haze. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Worker men labor in the city while being watched by onlookers.,The men are workers in the city who labor by being watched.,The children are working in the city and being watched by onlookers.,nli_base
Source: Chicken coop; Edit instruction: have the chicken,Chicken eating,Chicken coop,webvid_covr_multimodal
A firefighter sprays piles of burning debris with a hose.,A person is spraying something with water.,A doctor performs a surgery.,nli_base
Two dogs bite at each other on the carpet.,two dogs are biting,the dogs are asleep,nli_base
A person pulls up the sleeve,A person is pulling up the sleeve of the cardigan,A person pulls down the sleeve,ego4d_temporal
Source: Moonlit water in slow motion; Edit instruction: Rushing water in slow,Rushing water in slow motion,Moonlit water in slow motion,webvid_covr_multimodal
A long-haired guy playing the drums.,A man with long hair is playing the drums.,A man with long hair is playing the guitar for an audience.,nli_base
Three children are on a rug pretending to play instruments.,Three children playing.,Men looking nervous in a Lamaze class.,nli_base
Source: Businessman with mobile phone opens hologram hud interface and touches word country - capital - brussels; Edit instruction: make it Brasilia,Businessman with mobile phone opens hologram hud interface and touches word country - capital - brasilia,Businessman with mobile phone opens hologram hud interface and touches word country - capital - brussels,webvid_covr_multimodal
He did not survive.,He didn't live.,He lived to fight another day.,nli_base
Many areas of poverty law are highly specialized.,Poverty law study is often very specialized.,Poverty law is a very generalized field.,nli_base
Source: Wedding dress; Edit instruction: It should be a beautiful gazebo,Wedding gazebo,Wedding dress,webvid_covr_multimodal
A small girl draws colors inside a book with crayons.,There is a small girl coloring.,A child works on a masterpiece with colored pencils - the drawing goes on to sell for millions,nli_base
It was a formidable weapon but weighed so much that it could be transported only 5-kms (3-miles) per day; often the fighting had finished before it could be brought into play.,The weapon was too heavy to be moved into battle.,The gun was easy to trasnport.,nli_base
The first priority of the Commission was resource development and the Commission led a sustained effort in the California legislature to obtain state funds to support the provision of civil legal services to lowincome persons.,The California legislature tried to get state funds to help civil legal services for lowincome persons.,The California legislature made it their priority to prevent any more spending on civil legal services for low-income persons.,nli_base
At the garden's famous tea pavilion you can sample a tea ceremony while contemplating the cherry and plum trees on one side in the spring or the blazing maples on the other in autumn.,"While you enjoy the tea ceremony, why not check out the cherry and plum trees?","If you must drink tea, keep your head down and avoid the hideous trees.",nli_base
Source: Casino chips; Edit instruction: make it a roulette,Casino roulette,Casino chips,webvid_covr_multimodal
A little boy with a cream colored shirt holding a small piece of candy in a wrapper.,A boy is holding a small piece of candy.,A large man with a red colored shirt holding a large piece of candy outside a wrapper.,nli_base
you know but still if you realize that uh one barrel has like how much was it like uh forty gallons,"How much is one barrel? About 40 gallons, right?","You know that a barrel contains less than 500ml, right?",nli_base
Source: Symbol om appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black; Edit instruction: Make the symbol black,Symbol key appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,Symbol om appears from crumbling sand. then crumbles down. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Swampy landscape; Edit instruction: make it look like Sweden,Swedish landscape,Swampy landscape,webvid_covr_multimodal
A man enters the kitchen with the packer,A man enters to a kitchen room,A man exits the kitchen with the packer,ego4d_temporal
Many young dark complected children raising their arms in the air in excitement.,the children were excited,the kids spent the day insdie due to the storm,nli_base
A little boy runs through a crowd of pigeons.,there is a small boy who is running through a group of birds,there is a tall man who is in a crowded supermarket buying chicken,nli_base
Furniture sits inside of a moving truck with a ramp.,A family is moving furniture that is sitting inside a truck,the rock is chasing them,nli_base
Source: Small fountain in city park; Edit instruction: add more details to the fountain,Beautiful fountain in city park,Small fountain in city park,webvid_covr_multimodal
"Unfortunately, the majority of physicians (54%) screen only those patients they suspect based on their clinical impressions.","Unfortunately, part of the screening is based on the intuition of physicians.",All physicians screes patients based on their suspicions.,nli_base
Source: Garbage in water; Edit instruction: a dump truck,Horse in water,Garbage in water,webvid_covr_multimodal
"The painted blue arabesques in the domes and upper walls are restorations; to see the original version, look at the wall beneath the sultan's loge.","The blue arabesques are not originals, but restorations.",Those blue arabesques are the same ones that have been there for hundreds of years.,nli_base
A boy inserts a cable,A boy is inserting cable into a connector,A boy removes a cable,ego4d_temporal
Source: Cucumber flower; Edit instruction: make it a grass flower,Grass flower,Cucumber flower,webvid_covr_multimodal
Source: Winter snow-covered forest; Edit instruction: Make it a winter landscape,Winter landscape. forest,Winter snow-covered forest,webvid_covr_multimodal
a romantic couple sitting together.,A couple sitting together,Three people on a couch,nli_base
A blond toddler is standing and waving on the playground.,A child is standing.,A child is in his bed.,nli_base
a basketball player defends another player.,two people play a game,two people are playing football,nli_base
A woman with short brown hair is wiping a railing with a yellow towel.,A woman with brown hair is wiping with a towel.,A woman is bathing in a bath tub with a blue towel.,nli_base
A man opens the oven,A man opens the oven with the oven paddle,A man closes the oven,ego4d_temporal
"Source: New year text text single. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b); Edit instruction: Make driving snowfalls","New year text text driving. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)","New year text text single. snow falls. christmas mood, looped video. alpha channel premultiplied - matted with deep blue rgb(04:00:5b)",webvid_covr_multimodal
A man with a camera sitting on a stair.,A man holding a camera.,A man doing jumping jacks in his home.,nli_base
Source: The head. looping footage has 4k resolution. prores 4444. 3d illustration; Edit instruction: make it a tor,The torus. looping footage has 4k resolution. prores 4444. 3d illustration,The head. looping footage has 4k resolution. prores 4444. 3d illustration,webvid_covr_multimodal
Source: Fashion model posing; Edit instruction: make it a little girl,Little model posing,Fashion model posing,webvid_covr_multimodal
i wonder too you know they keep talking about ozone depletion and all this it it seems funny that it's coming around at the time when we're losing the most most of the forests,I wonder since they keep talking about the ozone being depleted.,I wonder since they keep talking about the ozone being regenerated.,nli_base
The Commission stated that it rejected both alternatives because both seriously decreased the ability of hearing- impaired individuals to gain access to phones in emergency situations.,The commission said it rejected the alternatives because they lowered the ability of hearing-impaired people to gain access to phones in emergencies.,The commission said it rejected the alternatives because they increased the ability of hearing-impaired people to gain access to phones in emergencies.,nli_base
"A kid crosscountry skis wearing the number ""93"".",A kid is wearing a number,The kid is dressed up as a gorilla,nli_base
a female is scrambling eggs in a bowl.,A woman scrambles eggs.,A woman microwaves eggs.,nli_base
Source: Lilac blooms; Edit instruction: Turn the lilac into smoke,Lilac smoke,Lilac blooms,webvid_covr_multimodal
uh couldn't do the fine detailed fine detail on it,I was unable to do the finer details.,I did the fine details easily when I worked on it.,nli_base
Source: Street sign the way to apprenticeship; Edit instruction: turn the street sign into a pile of facts,Street sign the way to facts,Street sign the way to apprenticeship,webvid_covr_multimodal
A child climbs up the wall,A child climbs up the wall climb challenge,A child climbs down the wall,ego4d_temporal
Source: Chicken farm; Edit instruction: Make it a pig farm,Pig farm,Chicken farm,webvid_covr_multimodal
"Source: Symbol brain inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white; Edit instruction: Make the fish symbol into a fish","Symbol fish inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white","Symbol brain inflames with dark fire, then burns. in - out loop. alpha channel premultiplied - matted with color white",webvid_covr_multimodal
"The coast? I asked, puzzled. ",I didn't understand what the coast had to do with anything.,The coast made perfect sense.,nli_base
A baseball player prepares to swing the bat at a pitched ball.,A baseball player is getting ready to hit a ball.,A baseball player is getting ready to catch a ball.,nli_base
Two dogs wearing sweaters play in a field.,there are dogs playing,the dogs are knitting sweaters,nli_base
"This is because social insurance taxes, like other taxes, are determined through the exercise of the power of the Government to compel payment.","Thanks to the Goverment, social insurance taxes can be determined.","Thanks to the Goverment, social insurance taxes can be eliminated.",nli_base
Source: Manhattan skyline; Edit instruction: move to Philadelphia,Philadelphia skyline,Manhattan skyline,webvid_covr_multimodal
Source: Morning on the river; Edit instruction: add a bridge,Bridge on the river,Morning on the river,webvid_covr_multimodal
Source: Circles gather in symbol poop. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: make it a snow,Circles gather in symbol snowplow. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol poop. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
It gushed forth--and slowed; it frothed--trickled--and stopped entirely.,"A liquid was flowing, at first quickly, then slowly, and then it stopped.",The river had slowed to a standstill.,nli_base
A brown dog swimming through murky water.,An animal is in the water.,A puppy is running down the hall to the room.,nli_base
Adrin grunted and the expression on his face continued to fall into frustration and hopelessness.,Adrin was feeling extremely hopeless about the situation.,The expression on Adrin's face was that of satisfaction.,nli_base
The average number of miles differs by a factor of 4.5.,The average number of miles changed by 4.5,The average number of miles remained stable,nli_base
Source: Sunset over reservoir; Edit instruction: Make the sky darker,Sunset over landfill,Sunset over reservoir,webvid_covr_multimodal
Three children playing with metal furniture.,Three kids playing.,Two girls playing,nli_base
Source: Christmas candles; Edit instruction: Change the candles to presents,Christmas presents,Christmas candles,webvid_covr_multimodal
"A group of protesters, many in Muslim-styled clothing walk down the street carrying signs with sentiments against the occupation of Gaza.",people protest,baby in crib,nli_base
a skateboarder jumps a staircase.,A skater jumps a staircase.,A skater dances on the ice.,nli_base
A blond child is wearing blue goggles and a green Speedo tank top while swimming underwater.,This child is at a water park.,The child is swimming on Mars.,nli_base
A man with glasses and a green beanie falling asleep on the subway.,The man is on the subway,The man missed the subway,nli_base
Source: Running in the snow; Edit instruction: Be a bivouac,Bivouac in the snow,Running in the snow,webvid_covr_multimodal
"Two young boys are playing the game ""Twister"" and have placed their hands and feet on blue and green patches.",Two boys are on a twister mat.,A couple kids are playing cards.,nli_base
"About an hour had passed when he heard the key softly turned, and the door opened.",The door opened softly after an hour had passed.,The man heard voices in the hall before the key turned and the door swung open.,nli_base
Source: Asian couple in the park; Edit instruction: make the couple romantic,Romantic couple in the park,Asian couple in the park,webvid_covr_multimodal
"a man in a red shirt, white cowboy hat, chaps, and cowboy boots rides a brown bucking bronco in a rodeo.",A person is riding an animal.,A man in a cowboy outfit crashes the bachelorette party but is actually a male stripper.,nli_base
"Source: Symbol walking shimmers in three colors: purple, green, pink. in - out loop. alpha channel premultiplied - matted with color black; Edit instruction: make the symbol a pen","Symbol pen shimmers in three colors: purple, green, pink. in - out loop. alpha channel premultiplied - matted with color black","Symbol walking shimmers in three colors: purple, green, pink. in - out loop. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
Source: Beautiful bay; Edit instruction: replace with orchids,Beautiful orchids,Beautiful bay,webvid_covr_multimodal
Source: Mango flower; Edit instruction: Make it peony,Peony flower,Mango flower,webvid_covr_multimodal
Source: Mountain drone; Edit instruction: make a road instead of a drone,Mountain road,Mountain drone,webvid_covr_multimodal
Source: Winter park; Edit instruction: transform it into a city park,City park,Winter park,webvid_covr_multimodal
Source: Spring grass; Edit instruction: make a spring blossom,Spring blossom,Spring grass,webvid_covr_multimodal
Source: Mushroom in the forest; Edit instruction: Make it a forest glade,Glade in the forest,Mushroom in the forest,webvid_covr_multimodal
Greyhounds jumping out of the gate at a race.,Greyhounds racing at an event,Greyhounds are not racing,nli_negation
Source: Ocean landscape; Edit instruction: make the landscape in California,California landscape,Ocean landscape,webvid_covr_multimodal
Source: Pan-fried fish; Edit instruction: make it a fish from,Ocean fish,Pan-fried fish,webvid_covr_multimodal
Source: Green grapes; Edit instruction: Change the grapes into a cylinder,Green cylinder,Green grapes,webvid_covr_multimodal
Source: Iran scanned by software; Edit instruction: make Angola the scanner rather than Iran,Angola scanned by software,Iran scanned by software,webvid_covr_multimodal
Men in red jackets are watching the exit to a building.,Men in coats are looking at an exit to a structure.,Men in swimming trunks are running beside a lake.,nli_base
"Goya worked here, creating the designs on which tapestries were based.",Goya based his tapestries on created designs.,Goya didn't have anywhere to work on his designs.,nli_negation
"Ostensibly, this commitment was made last year when the United States voted with its NATO allies to use air power if one side of the Serb-Kosovar war signed the peace plan and the other refused.",The USA voted to use air power.,The USA voted to not use air power.,nli_negation
A young man in a baseball cap and shirt is playing baseball in a park.,A young man in uniform is playing baseball.,A young girl is learning to golf.,nli_base
The child in raingear is dragging a broom through a puddle.,the child drags a broom,the child is on his bed asleep,nli_base
